#
# Generated by M. Cushing, Tue Oct 17 12:30:56 2017
#
# Line list for the Kgas mode of iSHELL.
#
#==============================================================================================
#Order   | Vacuum Wavelength   | Species           | Fit Window    | Fit Type   | Fit N Terms
#        | (microns)           |                   | (Angstroms)   |            |            
#==============================================================================================
 233     |   2.2270412         |          Th II    |  2.0          | G          | 5          
 233     |    2.228969         |           Th I    |  2.0          | G          | 5          
 234     |   2.2079530         |           Th I    |  2.0          | G          | 5          
 234     |  2.20832076         |           Ar I    |  2.0          | G          | 5          
 234     |    2.210486         |          Ar II    |  2.0          | G          | 5          
 234     |  2.21096615         |           Th I    |  2.0          | G          | 5          
 234     |  2.21186524         |         Ar I *    |  2.0          | G          | 5          
 234     |    2.212129         |    Ar I / Th I    |  2.0          | G          | 5          
 234     |    2.216009         |                   |  2.0          | G          | 5          
 234     |    2.221573         |           Ar I    |  2.0          | G          | 5          
 235     |   2.1996726         |           Th I    |  2.0          | G          | 5          
 235     |    2.200347         |          Ar II    |  2.0          | G          | 5          
 235     |  2.20455774         |           Ar I    |  2.0          | G          | 5          
 235     |    2.205300         |          Ar II    |  2.0          | G          | 5          
 235     |   2.2079530         |           Th I    |  2.0          | G          | 5          
 235     |  2.21096615         |           Th I    |  2.0          | G          | 5          
 235     |  2.21186524         |         Ar I *    |  2.0          | G          | 5          
 235     |    2.212129         |    Ar I / Th I    |  2.0          | G          | 5          
 236     |    2.193172         |           Th I    |  2.0          | G          | 5          
 236     |   2.1947810         |          Ar II    |  2.0          | G          | 5          
 236     |  2.19509339         |           Th I    |  2.0          | G          | 5          
 236     |    2.195809         |           Th I    |  2.0          | G          | 5          
 236     |   2.1965373         |           Th I    |  2.0          | G          | 5          
 236     |   2.1979070         |                   |  2.0          | G          | 5          
 236     |    2.198444         |                   |  2.0          | G          | 5          
 236     |   2.1996726         |           Th I    |  2.0          | G          | 5          
 236     |    2.200347         |          Ar II    |  2.0          | G          | 5          
 237     |    2.185802         |          Th II    |  2.0          | G          | 5          
 237     |    2.186846         |           Th I    |  2.0          | G          | 5          
 237     |    2.187780         |   Th I / Th II    |  2.0          | G          | 5          
 237     |    2.188951         |           Th I    |  2.0          | G          | 5          
 237     |    2.193172         |           Th I    |  2.0          | G          | 5          
 237     |   2.1947810         |          Ar II    |  2.0          | G          | 5          
 238     |  2.17185115         |           Th I    |  2.0          | G          | 5          
 238     |  2.17499305         |          Th II    |  2.0          | G          | 5          
 238     |    2.175555         |           Th I    |  1.2          | G          | 5          
 238     |    2.176205         |           Th I    |  2.0          | G          | 5          
 238     |   2.1770260         |          Ar II    |  2.0          | G          | 5          
 238     |    2.178365         |                   |  2.0          | G          | 5          
 238     |    2.180844         |                   |  2.0          | G          | 5          
